id,problem,method,dataset,metrics,findings,advantages,limits,future
P01,"Parametric LLMs cannot cite or update the knowledge they encode, so factual errors are untraceable and unfixable without retraining.",Fine-tuned generator (BART) conditioned on passages from a dense retriever (DPR) over a Wikipedia index; RAG-Sequence and RAG-Token variants marginalise over retrieved documents.,"Natural Questions, TriviaQA, WebQuestions, CuratedTrec, MS MARCO, FEVER; Wikipedia dump as index.","Exact Match, F1, generation quality, factual correctness of generations.",Retrieval-augmented generation outperforms purely parametric seq2seq on open-domain QA and produces more specific and factual language; knowledge can be swapped by replacing the index without retraining.,Establishes the end-to-end RAG paradigm; hot-swappable knowledge; provenance is available because retrieved passages are explicit.,Retriever is largely frozen and errors propagate; single-shot retrieval cannot serve multi-hop questions; no mechanism to detect when the retrieved evidence fails to support the output.,"Joint retriever-generator training, multi-step retrieval, and explicit verification of generated claims against retrieved evidence."
P02,Sparse lexical retrieval (BM25) misses semantically relevant passages that share no vocabulary with the query.,Dual-encoder trained with in-batch negatives and hard negatives to embed questions and passages into a shared dense space; retrieval by maximum inner product search.,"Natural Questions, TriviaQA, WebQuestions, CuratedTREC, SQuAD; Wikipedia passage index.","Top-k retrieval accuracy, downstream QA Exact Match.","Dense retrieval trained on relatively few question-passage pairs substantially outperforms BM25 on top-20 retrieval accuracy, and the gain carries through to end-task QA.","Became the default retriever for RAG systems; simple, efficient, trainable with modest supervision.",Requires supervised question-passage pairs; degrades out of domain; embeddings are static so the index must be rebuilt when the encoder changes.,Unsupervised and domain-adaptive dense retrieval; hybrid sparse-dense fusion.
P03,"Language model pre-training stores knowledge implicitly in weights, which is opaque and cannot be inspected or edited.","Latent knowledge retriever trained jointly with masked language model pre-training, with retrieval treated as a latent variable and back-propagated through.","Wikipedia pre-training corpus; evaluated on Natural Questions, WebQuestions, CuratedTrec.",Exact Match on open-domain QA.,"Pre-training the retriever jointly with the language model yields large gains over models that treat retrieval as a fixed pre-processing step, and makes the knowledge source interpretable.",First to train retrieval end-to-end during pre-training; knowledge is modular and inspectable.,Pre-training is computationally very expensive; asynchronous index refresh is complex; evaluated only on extractive-style QA.,Cheaper joint training and extension beyond short-answer QA.
P04,Extractive readers cannot synthesise an answer that requires combining several retrieved passages.,"Fusion-in-Decoder: encode each retrieved passage independently with the encoder, then let the decoder attend jointly over all passage representations.","Natural Questions, TriviaQA.",Exact Match.,"Performance scales strongly with the number of retrieved passages, showing that generative readers aggregate evidence across passages rather than selecting one.","Simple, highly effective, and scales with retrieved context; long the strongest open-domain QA reader.",Cost grows linearly with passage count; no notion of evidence sufficiency; cannot flag unsupported output.,Efficient attention over many passages; evidence selection and confidence estimation.
P05,Scaling parametric knowledge by growing model size is extremely expensive.,Retrieval from a trillion-token database using frozen BERT embeddings and chunked cross-attention into a transformer decoder.,MassiveText; evaluated on language modelling and downstream tasks; Pile and Wikitext103.,"Perplexity (bits per byte), downstream task accuracy.","A model with far fewer parameters matches much larger parametric models when given retrieval over a very large corpus, indicating knowledge can be offloaded from weights to an index.",Demonstrates a favourable compute-knowledge trade-off at scale; retrieval at unprecedented database size.,Frozen retriever; huge engineering cost for the index; potential test-set leakage from the retrieval corpus requires careful deduplication.,Trainable large-scale retrievers and rigorous leakage control.
P06,Similarity search over billions of dense vectors is infeasible with exact methods on CPU.,GPU-optimised approximate nearest neighbour search with product quantisation and an efficient k-selection algorithm.,"SIFT1B, DEEP1B benchmark vector collections.","Recall@k against exact search, queries per second, index build time.",Billion-scale k-NN search becomes practical on a small number of GPUs with orders-of-magnitude speedups over prior CPU systems at comparable recall.,Infrastructure that makes production RAG feasible; widely used as the FAISS library.,"Approximation reduces recall, and that recall loss silently becomes a retrieval failure upstream of the generator; tuning is workload-specific.",Hardware-aware indexing and better accuracy-latency trade-offs.
P07,"Retrieval augmentation usually requires modifying or fine-tuning the language model, which is impossible for closed models.",Prepend retrieved documents to the input context of an off-the-shelf frozen LM; study retriever choice and retrieval stride.,"WikiText-103, The Pile subsets, and open-domain QA sets.","Perplexity, downstream QA accuracy.","Simply placing retrieved text in the prompt of a frozen LM gives substantial language-modelling gains, and the retriever can be tuned to the LM without touching the LM.",No model access required; immediately deployable; clean baseline for prompt-level RAG.,Bounded by context window; irrelevant retrieved text actively harms output; no filtering of unhelpful passages.,Learned reranking and adaptive decisions about when to retrieve.
P08,"The strongest LLMs are only available behind APIs, so retrieval cannot be integrated into their internals.",Treat the LM as a black box; prepend retrieved documents and train the retriever using LM likelihood as the supervision signal (REPLUG LSR).,"Pile, Natural Questions, TriviaQA, MMLU.","Perplexity, Exact Match, accuracy.",Tuning the retriever against black-box LM feedback improves performance on language modelling and knowledge-intensive tasks without any model access.,Practical for commercial APIs; the retriever adapts to the specific consumer model.,"Requires token-likelihood access, which many APIs no longer expose; still single-shot retrieval.",Retriever adaptation from coarser feedback signals such as preferences or ratings.
P09,It is unclear how much relational factual knowledge language models actually store and can reliably recall.,LAMA probe: cloze-style queries derived from knowledge bases issued to pre-trained LMs without fine-tuning.,"Google-RE, T-REx, ConceptNet, SQuAD-derived probes.",Precision@k (mean precision at 1 and 10).,"LMs recall a surprising amount of relational knowledge without supervision, but recall is uneven and highly sensitive to how the query is phrased.",Foundational evidence that parametric memory is real but unreliable - the empirical motivation for retrieval augmentation.,Cloze probes measure recall of frequent relations only; prompt sensitivity confounds the measurement of what is actually 'known'.,Better probing methodology and separating knowledge from surface-form sensitivity.
P10,"Retrieval is applied indiscriminately even where the model already knows the answer, which adds cost and can hurt accuracy.",Construct PopQA around entity popularity; measure parametric accuracy against subject-entity popularity; compare with non-parametric retrieval; propose adaptive retrieval by popularity threshold.,"PopQA (constructed), EntityQuestions, Natural Questions.",Accuracy stratified by entity popularity.,Parametric memory works well for popular entities and fails sharply on long-tail entities; retrieval helps most on the tail and can actively degrade answers on head entities.,Provides the empirical case for *adaptive* rather than always-on retrieval; cheap popularity heuristic works well.,Popularity is a crude proxy for model confidence; results centred on entity-centric factoid QA.,Confidence-aware and self-knowledge-driven retrieval triggers.
P11,It is assumed that adding more retrieved context monotonically helps; the position of evidence in the context may matter.,"Controlled experiments on multi-document QA and key-value retrieval, varying the position of the relevant document within the input context.",Multi-document QA built from Natural Questions; synthetic key-value retrieval task.,Accuracy as a function of gold-evidence position and context length.,Performance is highest when the relevant evidence is at the beginning or end of the context and degrades markedly when it sits in the middle - a U-shaped curve robust across models.,Explains a large class of RAG failures that look like retrieval successes; directly motivates reranking and compression.,Primarily on the model generation of its time; mechanism behind the effect is not established.,"Position-robust architectures, evidence reranking, and context compression."
P12,"Hallucination is used loosely across NLG subfields with no shared definition, taxonomy or metric.","Systematic survey; defines intrinsic versus extrinsic hallucination; organises causes, metrics and mitigation across summarisation, dialogue, translation and QA.",Survey of task-specific benchmarks across NLG.,Reviews statistical and model-based faithfulness metrics.,"Hallucination arises from both data (source-reference divergence) and modelling/inference; no single metric captures it, and task-specific definitions differ substantially.",The standard reference taxonomy; the intrinsic/extrinsic split is used throughout the field.,Predates instruction-tuned LLMs and RAG-specific failure modes; largely encoder-decoder framing.,Unified evaluation and hallucination analysis for large-scale generative models.
P13,"LLM hallucination needs a taxonomy and consolidated account of causes, detection and mitigation specific to modern LLMs.","Large-scale survey organised around factuality and faithfulness hallucination, with causes traced to data, training and inference stages.",Reviews the major LLM hallucination benchmarks.,"Surveys factuality metrics, benchmarks and human evaluation protocols.",Provides the now-standard factuality/faithfulness split; identifies retrieval augmentation as a principal mitigation while noting it introduces its own failure modes.,Comprehensive and current; explicitly connects hallucination causes to mitigation families.,Breadth over depth; being a survey it does not evaluate the compared methods under a common protocol.,Standardised benchmarks and mitigation that addresses causes rather than symptoms.
P14,"Hallucination research is fragmented across detection, benchmarks and mitigation with inconsistent terminology.","Survey organising hallucination in LLMs into evaluation, explanation and mitigation, with a taxonomy of sources.",Reviews existing hallucination benchmarks.,Surveys automatic and human factuality evaluation.,"Argues hallucination is a systemic consequence of the training objective rather than an incidental defect, and that mitigation must span the whole pipeline.",Clear organisation and accessible synthesis of a fast-moving area.,Preprint; overlaps substantially with other contemporaneous surveys.,Causal analysis of hallucination and lifecycle-wide mitigation.
P15,"Whether hallucination can be eliminated at all, or is a structural property of the model class.","Formal argument using a computability framing: defines a ground-truth function and shows LLMs cannot learn all such functions, so hallucination is unavoidable in general.",Theoretical; no empirical dataset.,Not applicable - formal result.,"Hallucination is an innate limitation of LLMs and cannot be fully removed by scaling, better data or guardrails; it can only be bounded in practice.",Sets a principled ceiling on what mitigation can achieve and reframes the objective as risk management rather than elimination.,Idealised assumptions; the practical gap between the theoretical bound and deployed error rates is not quantified.,"Bounding achievable hallucination rates for realistic, restricted task distributions."
P16,Why models produce confident falsehoods rather than abstaining.,"Analysis of pre-training and post-training objectives, arguing hallucination is the statistically optimal response under binary scoring that penalises abstention.","Analytical, with reference to standard benchmark scoring practice.",Discusses benchmark scoring schemes and their incentives.,Hallucination persists because evaluation rewards guessing over saying 'I do not know'; changing benchmark scoring to reward calibrated abstention is proposed as a primary fix.,"Shifts the problem from model internals to incentive design, which is directly actionable for evaluation practice.",Recent preprint; the proposed scoring reforms are not yet empirically validated at scale.,Benchmarks and training objectives that explicitly reward calibrated uncertainty.
P17,"Detecting hallucination usually requires an external knowledge base or access to model internals, neither of which is available for black-box APIs.","Sample multiple stochastic generations and measure consistency between them; low agreement across samples signals fabrication. Variants use BERTScore, QA-based and n-gram consistency.",WikiBio-derived hallucination annotations with sentence-level labels.,"AUC-PR for sentence-level detection, correlation with human factuality judgements.","Self-consistency across sampled generations detects hallucination effectively without any external resource, exploiting that fabricated content is less stable across samples.",Zero-resource and black-box compatible; strong practical baseline.,"Requires several generations, so inference cost multiplies; confidently repeated falsehoods are consistent and therefore missed.",Cheaper consistency estimation and combination with retrieval-based verification.
P18,"Distinguishing uncertainty about meaning from uncertainty about wording, in order to detect confabulation reliably.",Semantic entropy: cluster sampled generations into semantic equivalence classes using bidirectional entailment and compute entropy over meanings rather than token sequences.,Open-domain QA and biography generation across several model families.,"AUROC for confabulation detection, comparison with token-level entropy baselines.",Entropy over semantic clusters detects confabulations substantially better than lexical uncertainty measures and generalises across datasets and models without task-specific supervision.,"Principled, unsupervised, model-agnostic; published in a top general-science venue with strong empirical validation.","Requires multiple samples plus entailment computation, so it is costly; targets confabulation specifically, not consistent errors learned from training data.",Efficient approximations and integration into retrieval-triggering decisions.
P19,"Models may reproduce popular human misconceptions, which standard accuracy benchmarks do not capture.",Adversarially constructed questions where a common human misconception is the tempting answer; human and automated (GPT-judge) evaluation.,TruthfulQA: 817 questions across 38 categories.,"Percentage of truthful answers, truthful-and-informative percentage.",Larger models are often *less* truthful because they better model the human text distribution including its falsehoods - inverse scaling on truthfulness.,Demonstrated that scale alone does not fix factuality; became a standard evaluation.,"Small and adversarial by construction, so absolute scores are not representative of general use; contamination risk given its age and popularity.",Truthfulness training objectives and evaluations resistant to memorisation.
P20,"Long-form generation mixes supported and unsupported content, so a single correctness label is uninformative.",Decompose generated text into atomic facts and verify each independently against a knowledge source; report the proportion supported.,Biography generation grounded in Wikipedia.,FActScore - fraction of atomic facts supported by the reference source.,"Fine-grained atomic scoring reveals substantial unsupported content in outputs that read as fluent and coherent, and an automated estimator tracks human judgement closely.","Fine-grained, interpretable, and now a standard metric for long-form factuality including RAG output.",Depends on knowledge-source coverage; atomic-fact decomposition is itself model-generated and can err; primarily validated on biographies.,Extension to domains without a clean reference corpus.
P21,"Hallucination datasets are expensive to annotate manually, which limits benchmark scale and coverage.",Automated pipeline that induces and collects factuality hallucinations from LLMs to construct labelled datasets without manual annotation.,Automatically generated hallucination datasets built from open-domain QA sources.,Hallucination detection accuracy; agreement with human labels.,"Automatically constructed hallucination corpora support detector training and evaluation at a scale manual annotation cannot reach, with quality sufficient for benchmarking.",Addresses the annotation bottleneck; recent IEEE journal publication with a reproducible pipeline.,Automatically induced hallucinations may not match the distribution of naturally occurring ones; label noise is inherited from the generating model.,Validating that induced hallucinations transfer to naturally occurring failure modes.
