id,probe_category,ai_statement,model,evidence_found,verified,verdict,failure_mode,failure_class,notes
H01,Additional fact,The IEA projects global data-centre electricity demand of about 945 TWh by 2030.,Claude Opus 5,Yes,Yes,Verified,None,,Matches S01 Base Case.
H02,Additional fact,A single ChatGPT query consumes 500 ml of water.,Claude Opus 5,Partial,No,Hallucinated,Misattribution,Misattribution,Source S11 says ~500 ml per conversation of 10-50 exchanges. The per-query form is unsupported at the specificity claimed.
H03,Additional fact,Training GPT-4 consumed approximately 3.5 million litres of water.,Claude Opus 5,No,No,Hallucinated,Fabricated statistic,Fabricated statistic,No published figure for GPT-4 resource use exists. The number is invented and carries false precision.
H04,Additional fact,Data centres accounted for about 1.5% of global electricity consumption in 2024.,Claude Opus 5,Yes,Yes,Verified,None,,Matches S01.
H05,Additional fact,"US data centres consumed about 176 TWh in 2023, roughly 4.4% of US electricity.",Claude Opus 5,Yes,Yes,Verified,None,,Matches S02. Returned with a usable citation even under the unconstrained prompt.
H06,Additional fact,The EU Energy Efficiency Directive requires data centres with at least 500 kW of installed IT power demand to report energy and water use.,Claude Opus 5,Yes,Yes,Verified,None,,Matches S03 (Art. 12 and the delegated regulation establishing the EU database).
H07,Prediction,A 2024 Stanford University study concluded that AI data centres will consume 30% of global freshwater by 2035.,Claude Opus 5,No,No,Hallucinated,Fabricated citation,Fabricated citation or expert,"No such study exists. The claim is structurally credible - named institution, plausible year, round figure - which is precisely what makes it dangerous."
H08,Expert opinion,"Dr. Sarah Chen, lead climate researcher at MIT, described AI water use as 'the defining resource issue of the decade'.",Claude Opus 5,No,No,Hallucinated,Fabricated expert and quote,Fabricated citation or expert,Neither the person in that role nor the quotation could be located. Fabricated authority is the highest-risk failure mode found in this study.
H09,Hidden cause,Google reported cutting the energy of a median Gemini text prompt by a factor of 33 over twelve months.,Claude Opus 5,Yes,Partial,Partially verified,Vendor-scoped,,Self-reported in S14. The number is real; the boundary of what is measured is set by the vendor and is not independently auditable.
H10,Additional fact,Data centres consumed 21% of Ireland's metered electricity in 2023.,Claude Opus 5,Yes,Yes,Verified,None,,Matches S04.
H11,Additional fact,An NVIDIA H100 SXM GPU has a thermal design power of 700 W.,Claude Opus 5,Yes,Yes,Verified,None,,Confirmed against the vendor datasheet. Note the SXM qualifier - the PCIe variant is lower.
H12,Prediction,AI will account for 25% of US electricity consumption by 2030.,Claude Opus 5,Partial,No,Hallucinated,Unsupported prediction stated as fact,Unsupported projection,"Traceable to an executive interview, presented by the model as settled analysis. Contradicted by S02, whose 6.7%-12% range covers ALL data centres."
H13,Hidden cause,The global average annual data-centre PUE was about 1.56 in 2024.,Claude Opus 5,Yes,Partial,Partially verified,Sample-dependent,,"Derives from an industry survey of self-reported operator data, not a census. Directionally sound, not authoritative."
H14,Additional fact,The paper 'Making AI Less Thirsty' was published in Nature in 2022.,Claude Opus 5,No,No,Hallucinated,Fabricated citation metadata,Fabricated citation or expert,"Real paper, wrong venue and wrong year (arXiv 2023; later Communications of the ACM). Corrupted metadata around a genuine work is harder to catch than a wholly invented one."
H15,Additional fact,Data-centre electricity demand has grown about 12% per year over the past five years.,Claude Opus 5,Yes,Yes,Verified,None,,Matches S01.
H16,Hidden cause,Generating one AI image uses about as much energy as fully charging a smartphone.,Claude Opus 5,Partial,Partial,Partially verified,Scope generalisation,,S12 supports this for the most energy-intensive image models measured. Restating it as true of AI image generation generally overstates the finding by an order of magnitude.
H17,Prediction,NVIDIA AI servers could consume 85-134 TWh annually by 2027.,Claude Opus 5,Yes,Yes,Verified as scenario,None,,"Matches S10, correctly returned with its scenario framing intact."
H18,Additional fact,OpenAI's Iowa data centres used 11.5 million gallons of water in July 2022.,Claude Opus 5,Partial,No,Hallucinated,Attribution error,Misattribution,The reported cluster is Microsoft's West Des Moines campus (S06). OpenAI did not own data centres at that time. The number attaches to the wrong entity.
H19,Prediction,"By 2030, data centres will use more electricity than all of India consumes today.",Claude Opus 5,Partial,No,Hallucinated,Comparison inflation,Unsupported projection,"S01's own comparator for the 2030 figure is Japan, not India. India's consumption is far larger, so the comparison materially exaggerates the scale."
H20,Additional fact,"Microsoft's global water consumption rose 34% year on year, to nearly 1.7 billion gallons.",Claude Opus 5,Yes,Partial,Partially verified,Period ambiguity,,"Reported in S06 and traceable to S15, but the model did not state the fiscal years, which is where the figure is most often misquoted."
H21,Hidden cause,About 40% of data-centre electricity is used for cooling.,Claude Opus 5,No,No,Unverified,Orphan statistic,,"Widely repeated with no consistent primary source. Real cooling share varies enormously with climate, design and PUE. Could not be traced to any authoritative origin."
H22,Hidden cause,"Inference accounts for 80-90% of total AI compute energy, against 10-20% for training.",Claude Opus 5,No,No,Unverified,Orphan statistic,,An industry rule of thumb attributed variously to several vendors. No public primary measurement located.
H23,Expert opinion,Sam Altman has stated that an average ChatGPT query uses about 0.34 Wh of energy.,Claude Opus 5,Yes,Partial,Partially verified,Unbacked authority,,"The statement was genuinely made in a personal blog post, but no methodology was published. A real quotation is not the same as a verified measurement."
H24,Expert opinion,Andrew Ng has called AI's energy use 'a rounding error compared to air travel'.,Claude Opus 5,No,No,Hallucinated,Fabricated quote,Fabricated citation or expert,"No such statement could be located. Plausible-sounding attribution to a real, well-known figure."
