id,claim,source_ids,claim_type,evidence_found,verdict,confidence,notes
C01,"Global data centres consumed roughly 415 TWh of electricity in 2024, about 1.5% of world electricity.",S01,Quantitative baseline,Yes,Verified,95,"Primary intergovernmental estimate. Stated as an estimate with a modelling margin, not a meter reading."
C02,"Global data-centre demand roughly doubles to about 945 TWh by 2030 under the IEA Base Case.",S01,Projection,Yes,Verified as scenario,90,"Verified as a published scenario. It is NOT a prediction; the IEA publishes multiple cases and the Base Case is only one."
C03,"US data centres consumed about 176 TWh in 2023, roughly 4.4% of total US electricity.",S02,Quantitative baseline,Yes,Verified,95,"National inventory prepared for the US Department of Energy."
C04,"US data centres are projected to reach 6.7%-12% of US electricity by 2028.",S02,Projection,Yes,Verified as range,90,"The range is the finding. Any single-number restatement of this is a distortion."
C05,"A single ChatGPT query consumes 500 ml of water.",S11,Viral statistic,Partial,Refuted,92,"The source states ~500 ml per CONVERSATION of roughly 10-50 exchanges, and only for specified data centres, seasons and locations. The per-query framing is a compression error introduced downstream."
C06,"An LLM query uses about 10x the electricity of a conventional web search.",S05;S13;S14,Viral statistic,Partial,Unverified,85,"Traceable to a single 2023 executive remark in S05, not to a measurement. S13 and S14 both report per-query figures broadly comparable to legacy search estimates, so the multiplier is contradicted by later evidence."
C07,"Training GPT-3 consumed roughly 700,000 litres of freshwater.",S11,Modelled estimate,Yes,Partially verified,80,"A published modelled estimate under stated assumptions. Never confirmed or denied by the operator. Routinely re-reported as a measurement."
C08,"A median Gemini text prompt uses about 0.24 Wh of energy and about 0.26 ml of water.",S14,Vendor disclosure,Yes,Partially verified,75,"Self-reported. Methodology is published, but the scope boundary - what is counted in and out - is chosen by the vendor."
C09,"AI servers could consume 85-134 TWh per year by 2027.",S10,Projection,Yes,Verified as scenario,88,"Peer-reviewed commentary, explicitly framed as a bounded scenario conditioned on production volumes."
C10,"Data centres accounted for 21% of Ireland's metered electricity consumption in 2023.",S04,Quantitative baseline,Yes,Verified,90,"National statistics office. Demonstrates that the global average conceals extreme local concentration - the most policy-relevant finding in the study."
C11,"AI will consume 20-25% of US electricity by 2030.",S02;S05,Viral projection,No,Refuted as official figure,85,"Traceable to an executive interview, not to any national inventory or peer-reviewed model. Directly contradicted by S02's 6.7%-12% range for ALL data centres, of which AI is a subset."
C12,"Big-tech data-centre emissions are approximately 662% higher than officially reported.",S07;S15,Contested accounting,Yes,Partially verified,70,"Depends entirely on market-based vs location-based carbon accounting. Defensible as an accounting critique; misleading when quoted as a measured emissions figure."
