survived,pclass,sex,age,sib_sp,parch,fare,embarked,has__cabin,deck,title,family_size,is_alone,sex_encoded,embarked__c,embarked__q,embarked__s,fare_log
0,3,male,22.0,1,0,7.25,S,0,Unknown,Mr,2,0,0,False,False,True,2.1102132003465894
1,1,female,38.0,1,0,65.6344,C,1,C,Mrs,2,0,1,True,False,False,4.19922096071412
1,3,female,26.0,0,0,7.925,S,0,Unknown,Miss,1,1,1,False,False,True,2.188856327665703
1,1,female,35.0,1,0,53.1,S,1,C,Mrs,2,0,1,False,False,True,3.9908341858524357
0,3,male,35.0,0,0,8.05,S,0,Unknown,Mr,1,1,0,False,False,True,2.2027647577118348
0,3,male,25.0,0,0,8.4583,Q,0,Unknown,Mr,1,1,0,False,True,False,2.246892662898172
0,1,male,54.0,0,0,51.8625,S,1,E,Mr,1,1,0,False,False,True,3.967694202798607
0,3,male,2.0,3,1,21.075,S,0,Unknown,Master,5,0,0,False,False,True,3.0944457464900235
1,3,female,27.0,0,2,11.1333,S,0,Unknown,Mrs,3,0,1,False,False,True,2.495953738718064
1,2,female,14.0,1,0,30.0708,C,0,Unknown,Mrs,2,0,1,True,False,False,3.436268471383741
1,3,female,4.0,1,1,16.7,S,1,G,Miss,3,0,1,False,False,True,2.8735646395797834
1,1,female,58.0,0,0,26.55,S,1,C,Miss,1,1,1,False,False,True,3.3160025355989236
0,3,male,20.0,0,0,8.05,S,0,Unknown,Mr,1,1,0,False,False,True,2.2027647577118348
0,3,male,39.0,1,5,31.275,S,0,Unknown,Mr,7,0,0,False,False,True,3.4742929367327062
0,3,female,14.0,0,0,7.8542,S,0,Unknown,Miss,1,1,1,False,False,True,2.180891922715322
1,2,female,55.0,0,0,16.0,S,0,Unknown,Mrs,1,1,1,False,False,True,2.833213344056216
0,3,male,2.0,4,1,29.125,Q,0,Unknown,Master,6,0,0,False,True,False,3.405355391810819
1,2,male,30.0,0,0,13.0,S,0,Unknown,Mr,1,1,0,False,False,True,2.6390573296152584
0,3,female,31.0,1,0,18.0,S,0,Unknown,Mrs,2,0,1,False,False,True,2.9444389791664403
1,3,female,21.5,0,0,7.225,C,0,Unknown,Mrs,1,1,1,True,False,False,2.1071782966514356
